noun.attribute | (effectiveness, nsubj)  | noun.communication | (part, obj) | the effectiveness of the governor in clearing up some of the inconsistencies revolving about the sales tax bill may play a part in determining whether it can muster the required two-thirds vote 
noun.communication | (content, nsubj)  | noun.communication | (part, obj) | how literature does this , or for whom , is certainly not clear , but the content , form , and language of the `` message '' , as well as the source , would all play differentiated parts in giving and molding a sense of purpose 
noun.person | (he, nsubj)  | noun.artifact | (house, obj) | i mean something more like freud's concept of the utility of `` play '' to a small child : he plays `` house '' or `` doctor '' or `` fireman '' as a way of mastering slightly frightening experiences , reliving them imaginatively until they are under control 
noun.person | (pope, nsubj)  | noun.cognition | (game, obj) | the pope was playing a dangerous game , with so many balls in the air at once that a misstep would bring them all about his ears , and his only hope was to temporize so that he could take advantage of every change in the delicate balance of european affairs 
noun.artifact | (hulk, nsubj)  | noun.artifact | (guitar, obj) | this huge hulk played the guitar and he would take it along on our walks and play for us as we sat alone in the woods or by the stream 
noun.cognition | (notion, nsubj)  | noun.communication | (part, obj) | and in these organizations certain primal notions played a radiant part , radiant both in the sense of giving light and of being a pole toward which all perspectives converge 
noun.person | (nobody, nsubj)  | noun.possession | (way, obj) | -- since , as courtenay says , `` nobody should play with lives the way we do unless he's motivated by the highest ideals '' 
noun.person | (child, nsubj)  | noun.cognition | (one, obj) | around that statue in the green park where children play and lovers walk in twos and there is a glowing view of the whole city , in that park are the rows of marble busts of garibaldi's fallen men , the ones who one day rushed out of the porta san pancrazio and , under fire all the way , up the long , straight narrow lane to take , then lose the high ground of the villa doria pamphili 
noun.person | (who, nsubj)  | noun.communication | (part, obj) | he will be considered not only great among his contemporaries , but as great among all the americans who have played a part in the country's history since the beginning 
noun.substance | (goitrogen, nsubj)  | noun.act | (role, obj) | there is some evidence that naturally occurring goitrogens may play a role in the development of goitre , particularly in tasmania and australia ( clements and wishart , 1956 ) 
noun.artifact | (level, nsubj)  | noun.act | (role, obj) | besides the presence of goitrogens in the diet , the level of iodine itself in the diet plays a major role in governing the activity of the thyroid gland 
noun.act | (relation, nsubj)  | noun.act | (role, obj) | in addition , the neocortical-hypothalamic relations play a great role in primates , as mirsky's interesting experiment on the `` communication of affect '' demonstrates 
noun.attribute | (balance, nsubj)  | noun.act | (role, obj) | the foregoing remarks imply that the hypothalamic balance plays a crucial role at the crossroads between physiological and pathological forms of emotion 
noun.state | (imbalance, nsubj)  | noun.act | (role, obj) | in view of the important role which emotional disturbances play in the genesis of neurotic and psychotic disorders and the parallelism observed between autonomic states and psychological behavior in several instances , it is further suggested that a hypothalamic imbalance may play an important role in initiating mental changes 
noun.act | (sanction, nsubj)  | noun.communication | (part, obj) | the process of social control is operative insofar as sanctions play a part in the individual's behavior , as well as the group's behavior 
noun.person | (he, nsubj)  | noun.act | (role, obj) | at the end of work one day , the personnel man took the applicants one at a time , asked them to sit behind the receptionist's desk and he then played the role of a number of people who might come to the receptionist with a number of queries and for a number of purposes 
noun.person | (she, nsubj)  | noun.act | (role, obj) | she was hired and was found to be entirely satisfactory when she played the role eight hours a day 
noun.person | (he, nsubj)  | noun.communication | (number, obj) | he played a number of typical situations before observers , other supervisors who kept notes and then explained to him in detail what he did they thought was wrong 
noun.person | (he, nsubj)  | noun.communication | (part, obj) | as sir giles overreach ( how often had he had to play that part , who did not believe a word of it ) , he raised his arm and declaimed : `` where is my honour now '' ? ?
noun.person | (girl, nsubj)  | noun.person | (grownup, obj) | on the christophers' lawn , little girls in white pinafores were playing grownups at a tea party 
noun.person | (he, nsubj)  | noun.act | (role, obj) | -- he had to play a role of self-effacement 
noun.event | (time, nsubj)  | noun.communication | (part, obj) | time plays an essential part in our mortality , and suddenly for no reason he could imagine ( or admit ) the image of peg laughing filled his mind -- so desirable , so lusty , so full of nuances of pleasure and joy 
noun.person | (he, nsubj)  | noun.state | (hole, obj) | then he played nine imaginary holes of golf , choosing his handicap , his irons , his stance , his opponents , and his weather in detail , but the green of the links seemed faded in the light of his business worries 
noun.person | (we, nsubj)  | noun.cognition | (game, obj) | it was late , we were playing kissing games , and jessica and i were called on to kiss in front of the others 
noun.person | (delinquent, nsubj)  | noun.cognition | (game, obj) | back east the more affluent juvenile delinquents , who could afford hyped-up autos instead of switch blades as lethal weapons , played this same game and called it `` chicken '' 
noun.person | (she, nsubj)  | noun.cognition | (game, obj) | usually she marked the few who did thank you , you didn't get that kind much in a place like this : and she played a little game with herself , seeing how downright rude she could act to the others , before they'd take offense , threaten to call the manager 
noun.person | (he, nsubj)  | noun.act | (golf, obj) | but he didn't play golf , didn't seem to belong to any local clubs -- his work took him away a lot , of course -- which probably accounted for his tendency to keep to himself 
noun.artifact | (monitor, nsubj)  | noun.substance | (jet, obj) | there a dozen giant monitors played their seventy-five-foot jets of water against the huge seam of tertiary gravel which was the mountainside 
noun.person | (he, nsubj)  | noun.person | (card, obj) | now , he could only play the last card in what was probably the world's coldest deck 
noun.person | (they, nsubj)  | noun.cognition | (game, obj) | but with bill o'connor on the fiddle , and gran harrow exuberantly shouting `` glory be '' and `` hallelujah '' above their united chant of the lilting old ballads , they played their quaint folk games with all the fervor and abandon of a real celebration 
noun.person | (male, nsubj)  | noun.act | (role, obj) | of course , males play a role there , but believe me when i say you wouldn't enjoy yourself one bit on eromonga 
noun.person | (they, nsubj)  | noun.location | (lot, obj) | school began in august , the hottest part of the year , and for the first few days miss langford was very lenient with the children , letting them play a lot and the new ones sort of get acquainted with one another 
noun.person | (i, nsubj)  | adj.all | (more, obj) | `` i don't believe i'll play any more neither '' 
noun.person | (he, nsubj)  | noun.act | (roulette, obj) | just to test himself , he played roulette for quarters on his old combination , five and seventeen , and within an hour , he had won , surprisingly , twenty dollars 
noun.person | (parker, nsubj)  | noun.person | (bandit, obj) | owen was surprised to see mrs gertrude parker playing the one-arm bandits that were cunningly arranged by the entrance 
noun.person | (he, nsubj)  | noun.entity | (it, obj) | he wondered if he had played it wrong 
noun.person | (he, nsubj)  | noun.food | (bass, obj) | `` but he plays bass with chief crazy horse and his five colts '' ! !
noun.person | (i, nsubj)  | noun.person | (hostess, obj) | as letch's antisocial conduct increased , our invitations decreased and my heart was in my mouth whenever i played hostess at a fashionable `` screenland '' gathering 
noun.person | (i, nsubj)  | noun.person | (girl, obj) | at the same time , however , i availed myself of the services of that great english actor and master of make-up , sir gauntley pratt , to do a `` quickie '' called the mystery of the mad marquess , in which i played a young american girl who inherits a haunted castle on the english moors which is filled with secret passages and sliding panels and , unbeknownst to anyone , is still occupied by an eccentric maniac 
noun.person | (they, nsubj)  | noun.communication | (part, obj) | he had almost forgotten them , although they had played such an important part in his early dreams 
noun.artifact | (spotlight, nsubj)  | verb.stative | (become, obj) | nevertheless , like any other human being upon whom the spotlight of the world plays continually , khrushchev , the anti-personality cultist , has become a comic actor , or thinks he has 
noun.person | (who, nsubj)  | noun.person | (salesman, obj) | cause of all this commotion : squat , pug-nosed , balding , hopelessly ugly jean-pierre bravado , a bogartian figure , who plays a sadistic , amoral , philosophic tasti-freeze salesman in old new-waver fredrico de mille rossilini's endlessly provocative film , a sour sponge 
