noun.person | (voter, nsubj)  | noun.cognition | (choice, obj) | opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice 
noun.person | (who, nsubj)  | noun.artifact | (ensemble, obj) | the biggest single act would doubtless be staged by frankie himself : his inaugural wardrobe had been designed by hollywood couturier don loper , who regularly makes up ladies' ensembles 
noun.person | (thompson, nsubj)  | noun.communication | (headline, obj) | last week , in the german city of dusseldorf , g david thompson was making headlines that could well give pittsburgh pause 
noun.person | (he, nsubj)  | noun.phenomenon | (fortune, obj) | he made his fortune during world war 2 , when he took over a number of dying steel plants and kept them alive until the boom 
noun.location | (georgia, nsubj)  | noun.act | (reform, obj) | georgia has made some reforms , true 
noun.act | (service, nsubj)  | noun.person | (case, obj) | the park service makes an impressive ecological and statistical case for creating this new park 
noun.person | (he, nsubj)  | noun.cognition | (sense, obj) | he made good , plain american common sense and the house usually recognized it and acted upon it 
noun.group | (un, nsubj)  | noun.event | (progress, obj) | does this suggest that the congo is fit for nationhood or that un is making any progress whatever toward its goal of so making it ? ?
noun.act | (craft, nsubj)  | noun.act | (flight, obj) | the craft made the familiar unwelcome flight to havana , where , for some unknown reason , castro rushed to the airport to express mortification to the colombian foreign minister , a passenger , who is not an admirer of old ten o'clock shadow 
noun.group | (university, nsubj)  | noun.act | (contribution, obj) | the university can make a valuable contribution to the state's economic development through such a study 
noun.person | (they, nsubj)  | noun.act | (stick, obj) | even though headquarters actually have been moved into the chatham building , do they believe that they can make the new name stick ? ?
noun.person | (taylor, nsubj)  | noun.artifact | (trip, obj) | there was good reason for gen taylor to make an inspection trip at this time 
noun.Tops | (being, nsubj)  | noun.entity | (it, obj) | what we must have , if the united nations is to survive , is as nonpolitical , nonpartisan an organization at the top as human beings can make it , subject to no single nation's direction and subservient to no single nation's ambition 
noun.person | (i, nsubj)  | noun.person | (myself, obj) | for a while there was such shrill girlish commotion i couldn't have made myself heard if i'd had the equivalent of the message to garcia 
noun.attribute | (joke, nsubj)  | noun.person | (friend, obj) | jokes , cartoons and cynics to the contrary , mothers-in-law make good friends 
noun.person | (he, nsubj)  | noun.attribute | (use, obj) | mr podger had thanked him gravely , and now he made use of the advice 
noun.person | (he, nsubj)  | adj.all | (simple, obj) | he can often make the complex ridiculously simple , and vice versa 
noun.communication | (paper, nsubj)  | noun.act | (appearance, obj) | aug 4 , 1821 , nearly a century after benjamin franklin founded the pennsylvania gazette -- a century during which it had undergone several changes in ownership and a few brief suspensions in publication -- this paper made its first appearance as the saturday evening post 
noun.person | (lawyer, nsubj)  | noun.artifact | (trip, obj) | the right to leave the hoosegow any time to see a lawyer instead of waiting for a lawyer to make a trip to the prison 
noun.person | (you, nsubj)  | noun.act | (mistake, obj) | apologies are in order from anybody who said , `` are you sure you're not making a mistake '' ? ?
noun.act | (force, nsubj)  | noun.act | (start, obj) | the task force might make a start in washington with republican congressional leaders 
noun.person | (who, nsubj)  | noun.artifact | (boat, obj) | the guy who makes the motor boats may be a communist '' 
noun.group | (squad, nsubj)  | noun.possession | (way, obj) | however , the east providence rescue squad made its way through to my home in time of desperation 
noun.person | (he, nsubj)  | noun.artifact | (point, obj) | while i respect his sincere concern for peace , he made four points that i would like to question 
noun.artifact | (cafe, nsubj)  | noun.possession | (money, obj) | unfortunately the cafes might not make enough money to support themselves during the off season 
noun.person | (you, nsubj)  | noun.communication | (comment, obj) | in your editorial of sept 30 `` the smoldering congo '' you make the following comment : `` far too many states are following the russian example in refusing to pay their assessments 
noun.person | (they, nsubj)  | noun.cognition | (object, obj) | they make beautiful objects 
noun.act | (wrong, nsubj)  | noun.act | (right, obj) | i suppose i am missing some elementary point but i honestly cannot see how two wrongs can make a right ! !
noun.act | (wrong, nsubj)  | noun.act | (right, obj) | i repeat , two wrongs do not make a right 
noun.act | (union, nsubj)  | noun.person | (they, obj) | some time ago , however , mr khrushchev decided that when bigger bombs were made , the soviet union would make them 
noun.person | (enemy, nsubj)  | noun.act | (miscalculation, obj) | if this capacity had not failed them , they would see that their enemy has made a disastrous miscalculation 
noun.person | (he, nsubj)  | noun.act | (mistake, obj) | but to imitate an opponent when he has made the mistake of his life would be a new high in statesmanlike folly 
noun.person | (khrushchev, nsubj)  | noun.communication | (threat, obj) | so , while we properly inveigh against the new poisoning , history is not likely to justify the pose of righteousness which some in the west were so quick to assume when mr khrushchev made his cynical and irresponsible threat 
noun.group | (protestants, nsubj)  | noun.attribute | (use, obj) | speakers declared that protestants often make use of it , if , perhaps , by some other name 
noun.person | (communist, nsubj)  | noun.act | (mistake, obj) | the military in taiwan believe that the communists have made two mistakes , which , together , may prove fatal 
noun.person | (we, nsubj)  | noun.possession | (note, obj) | before memory , too , clouds over , let us make a note or two of what could be seen 
noun.person | (we, nsubj)  | noun.attribute | (grant, obj) | in the very week of our war against katanga , we make a $133 million grant to kwame nkrumah , who has just declared his solidarity with the communist bloc , and is busily turning his own country into a totalitarian dictatorship 
noun.person | (leader, nsubj)  | noun.communication | (noise, obj) | from this belief is derived the practical orientation of our policy on the `` uncommitted '' ( `` neutralist '' , `` contested '' ) nations , especially on those whose leaders make the most noise -- nehru , tito , nkrumah , sukarno , betancourt , etc 
noun.artifact | (newspaper, nsubj)  | noun.act | (mistake, obj) | a couple of days later a balletomane told me he had telephoned allied arts for ticket information and was told `` the newspapers had made a mistake '' 
noun.person | (moore, nsubj)  | noun.person | (master, obj) | furthermore , garry moore makes an ideal master of ceremonies 
noun.person | (who, nsubj)  | noun.communication | (debut, obj) | francois d'albert , hungarian-born violinist who made his new york debut three years ago , played a return engagement last night in judson hall 
noun.person | (he, nsubj)  | adj.all | (most, obj) | he made the most of the long brahmsian phrases , and by the directness and drive of his playing gave the work a handsome performance 
noun.person | (he, nsubj)  | adj.all | (many, obj) | he believed in making inspiring speeches and he made a great many 
noun.person | (i, nsubj)  | noun.communication | (mention, obj) | so i made no mention of air transport until we could get at least some of it '' 
noun.person | (he, nsubj)  | noun.act | (attempt, obj) | it is greatly to berman's credit that he made no attempt to outdo ray bolger 
noun.artifact | (bond, nsubj)  | noun.state | (box, obj) | such fascinating novelties in the score as the fugual treatment of `` on the side of the angels '' and `` politics and poker '' were handled splendidly , and i thought rudy bond and his band of tuneful ward-heelers made `` little tin box '' even better than it was done by the new york cast ; ;
noun.quantity | (couple, nsubj)  | noun.communication | (comedy, obj) | a couple of the males made good comedy , too -- jim hutton and frank gorshin 
noun.person | (he, nsubj)  | noun.process | (selection, obj) | did low decide to let well enough alone when he made his selections ? ?
noun.quantity | (handful, nsubj)  | noun.communication | (concert, obj) | a tiny handful never did make the concert 
noun.entity | (it, nsubj)  | noun.communication | (introduction, obj) | it also makes a fine introduction to the international art form with good examples of italian and english madrigals plus several french `` chansons '' 
noun.person | (i, nsubj)  | noun.communication | (observation, obj) | i make this observation about the lady , miss judy garland , because she brought up the subject herself in telling a story about a british female reporter who flattered her terribly in london recently and then wrote in the paper the next day :
noun.person | (who, nsubj)  | noun.act | (mistake, obj) | there also came a brief contretemps with the sound mixers who made the mistake of being overheard during a quiet moment near the conclusion of `` do it again '' , and she made the tart observation that `` i never saw so much moving about in an audience '' 
noun.person | (she, nsubj)  | noun.communication | (observation, obj) | there also came a brief contretemps with the sound mixers who made the mistake of being overheard during a quiet moment near the conclusion of `` do it again '' , and she made the tart observation that `` i never saw so much moving about in an audience '' 
noun.person | (he, nsubj)  | noun.communication | (comment, obj) | and he makes many interesting comments 
noun.communication | (copy, nsubj)  | noun.communication | (bid, obj) | he even buys a lot of the products he sees advertised -- despite the fact that the copy makes no special bid for his favor and sponsors rarely use any but white models in commercials 
noun.cognition | (amount, nsubj)  | noun.entity | (it, obj) | but no amount of head-tossing could make it so 
noun.person | (they, nsubj)  | noun.substance | (atom, obj) | protons and electrons bear opposite electrical charges which make them attract each other , and when they are joined they make up an atom of hydrogen -- the basic building block of matter 
noun.entity | (it, nsubj)  | noun.state | (effect, obj) | put to the service of lieder of schubert , brahms , strauss and wolf in a dramatical and musical way , it made its effect with ease and precision 
noun.location | (west, nsubj)  | noun.communication | (proposal, obj) | `` the west should make the central proposal ; ;
noun.location | (montgomery, nsubj)  | noun.act | (contribution, obj) | however , montgomery makes little contribution to leadership theory and practice 
noun.person | (drinker, nsubj)  | noun.act | (adjustment, obj) | but keys worries that the metrecal drinker will never make either the psychological or physiological adjustment to the idea of eating smaller portions of food 
noun.person | (we, nsubj)  | noun.attribute | (use, obj) | as a result , although we still make use of this distinction , there is much confusion as to the meaning of the basic terms employed 
noun.person | (who, nsubj)  | noun.communication | (pronouncement, obj) | if bultmann's own definition of myth is strictly adhered to ( and it is interesting that this is almost never done by those who make such pronouncements ) , the evidence is overwhelming that he does not at all exaggerate the extent to which the mythological concepts of traditional theology have become incredible and irrelevant 
noun.state | (need, nsubj)  | noun.attribute | (use, obj) | in the absence of a truly adequate conceptuality in which the gospel can be expressed , the unavoidable need to demythologize it makes use of whatever resources are at hand -- and this usually means one or another of the various forms of `` folk religion '' current in the situation 
noun.cognition | (liberalism, nsubj)  | noun.communication | (mark, obj) | a century ago , newman saw that liberalism ( what we now might call secularism ) would gradually but definitely make its mark on english protestantism , and that even high anglicanism would someday no longer be a `` serviceable breakwater against doctrinal errors more fundamental than its own '' 
noun.person | (doctor, nsubj)  | noun.act | (survey, obj) | one doctor made a careful survey of his patients and the reasons for their troubles , and he reported that 40% of them worried about things that never happened ; ;
noun.person | (scholar, nsubj)  | noun.artifact | (set, obj) | scholars made numbered sets of as many things as possible in nature , or assigned arbitrary numbers to individual things , in a fashion that seems to the modern scientific mind as downright nonsensical , and philosophical ideas based upon all this tended to stifle speculative thought in china for many centuries 
noun.Tops | (individual, nsubj)  | noun.event | (decision, obj) | the first thirty to sixty days after individuals make their decision will determine their interest and participation in the life of the church 
noun.person | (he, nsubj)  | noun.group | (appointment, obj) | if possible , he should make an appointment in order that all persons involved may be present 
noun.act | (congress, nsubj)  | noun.act | (law, obj) | the american constitution was historic at this point in providing that `` congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof '' 
noun.person | (i, nsubj)  | noun.cognition | (choice, obj) | but i can only make this choice because i believe that the risk need not increase , but may be deliberately reduced '' ( by precautions against accidents or by limiting war ? ?
noun.person | (child, nsubj)  | noun.attribute | (use, obj) | on their way to the heavenly city the children of god make use of the pax-ordo of the earthly city and acknowledge their share in responsibility for its preservation 
noun.group | (company, obj)  | noun.person | (we, nsubj) | and think , if we all knew this secret and we could pool our power , what a wonderful public utility company we would make 
noun.entity | (it, nsubj)  | noun.artifact | (trip, obj) | with martha's vineyard on one side and the open sea on the other , it makes an excellent trip of about three hours 
noun.person | (you, nsubj)  | noun.artifact | (stretch, obj) | you'll know when you've made the greatest stretch because your shoulder blades will touch ! !
noun.person | (you, nsubj)  | noun.act | (experiment, obj) | you should have a couple of training partners to stand by when you make your first experiments just for safety 
noun.person | (they, nsubj)  | noun.substance | (a, obj) | treat them right and they'll make a showing every month in the year except the frigid ones 
noun.person | (junior, nsubj)  | noun.artifact | (point, obj) | juniors who attend this chicago show should make a point to enter this class as it would be of great help to them 
noun.person | (you, nsubj)  | noun.communication | (mark, obj) | compress the assembly when you make the mark to show the location for `` b '' 
noun.feeling | (fury, nsubj)  | noun.act | (mistake, obj) | fury has made a few mistakes but looks like a wonderful prospect , with his impressive gait and stride which certainly make him cover the ground 
noun.person | (robinson, nsubj)  | noun.artifact | (rifle, obj) | at least five years ago , tom robinson of marlin made up an over/under double rifle for me in this caliber , using the now defunct model 90 action in 20-gauge size 
noun.animal | (marlin, nsubj)  | noun.act | (contribution, obj) | marlin has made two contributions to the harvest of new offerings 
noun.food | (peel, nsubj)  | noun.artifact | (dome, obj) | peel , core , and slice across enough apples to make a dome in the pie tin , and set aside 
noun.object | (milk, nsubj)  | noun.food | (dough, obj) | blend 2 cups biscuit mix with 2/3 cup milk to make a soft dough 
noun.cognition | (project, nsubj)  | noun.possession | (allowance, obj) | place mold or paper pattern on rolled clay and cut clay by holding knife in vertical position ( cut more pieces than required for project to make allowance for defects ; ;
noun.location | (frederick, nsubj)  | noun.artifact | (ride, obj) | colonel frederick w lander , impersonated , will again make his break-neck ride down the steep declivity of talbott's ( now college ) hill and thunder across the bridge to join colonel benjamin f kelley's ( west ) virginia infantry , then swarming through the streets in pursuit of the retreating confederates 
noun.person | (you, nsubj)  | noun.act | (trek, obj) | on the other hand , out-of-sight does not lead to out-of-mind when children cannot be easily observed and you have to make a long trek to reach the pool 
noun.group | (building, nsubj)  | noun.possession | (provision, obj) | if you can't see your way clear to have summer cooling included when building , by all means make provision for its easy adding later 
noun.artifact | (conditioner, nsubj)  | noun.attribute | (cool, obj) | as you know , a conditioner makes indoor air cool by pumping the heat out of it and then releasing this heat outdoors 
noun.communication | (person, nsubj)  | noun.communication | (judgment, obj) | it is too easy for the inexperienced person to make a quick judgment of a few values of the area and base a decision on these alone 
noun.communication | (stravinsky, nsubj)  | noun.act | (blunder, obj) | in all his miscalculations , stravinsky made the fatal historical blunder of presuming that he could transform other composers' inspirations -- representing many peoples , time periods and styles -- into his own music by warping the harmony , melody , or form , to verify his own experiments 
noun.person | (i, nsubj)  | noun.communication | (sketch, obj) | first i make preliminary watercolor sketches in quarter scale ( approximately af inches ) in which i pay particular attention to the design principles of three simple values -- the lightest light , the middle tone , and the darkest dark -- by reducing the forms of my subject to these large patterns 
noun.person | (i, nsubj)  | noun.attribute | (change, obj) | when this occurs , i make the change on the sketch or on the final watercolor -- if i have been working on a full sheet in the field 
noun.person | (i, nsubj)  | noun.attribute | (use, obj) | `` in addition to the usual tools , i make constant use of cleansing tissue , not only to wipe my brushes , but to mop up certain areas , to soften edges , and to open up lights in dark washes 
noun.group | (management, nsubj)  | noun.person | (mind, obj) | we have seen good new products shelved because no one had the assignment to develop such facts and plans -- and management couldn't make up its mind 
noun.body | (factor, nsubj)  | noun.communication | (difference, obj) | these factors can make the difference between waste and efficiency in any benefit program 
noun.person | (we, nsubj)  | noun.artifact | (application, obj) | `` we have made limited application of the ' parallel ladder ' plan 
noun.artifact | (sign, nsubj)  | noun.act | (appearance, obj) | signs of this type have already made their appearance in several larger cities , and others are on the way 
noun.artifact | (panel, nsubj)  | noun.artifact | (length, obj) | sixteen panels , each slightly more than 1-1/2 ft wide , make up the 25-ft length of the sign 
noun.shape | (channel, nsubj)  | noun.artifact | (construction, obj) | joined side by side , such channels make possible construction of continuous two-dimensional luminous areas up to 50 ft high and of unlimited width 
noun.event | (revolution, nsubj)  | verb.social | (handle, nsubj) | the revolution now under way in materials handling makes this much easier 
noun.person | (they, nsubj)  | noun.act | (charge, obj) | of these , 376 said they make no extra charge for strapping in standard units , because they save enough on mechanized carloading to offset their strapping cost 
noun.person | (man, nsubj)  | noun.group | (team, obj) | we found that three men -- two carpenters and a helper -- can put up wall panels or trusses more economically than four men -- because four men don't make two teams ; ;
noun.person | (they, nsubj)  | noun.group | (team, obj) | they make one inefficient three-men-and-a-helper team 
noun.artifact | (stud, nsubj)  | noun.person | (carpenter, obj) | so if a green stud makes a carpenter or a drywall finisher or anybody else waste even 20 seconds , the green stud becomes more expensive than a dry stud 
noun.person | (macarthur, nsubj)  | noun.communication | (remark, obj) | but consider , if you can bear it , what might have happened if macarthur , for some perverse , undaunted reason , had made the same remark to an eskimo girl in eskimo 
noun.person | (who, obj)  | noun.person | (mind, obj) | a brisk , amusing man , apparently constructed on an ingenious system of spring-joints attuned to the same peppery rhythm as his mind , smith began his academic career teaching speech to barnard girls -- a project considerably enlivened by his devotion to a recording about `` a young rat named arthur , who never could make up his mind '' 
noun.person | (they, nsubj)  | noun.act | (raid, obj) | on november 24th , they had made a raid on la maddalena 
noun.person | (I, nsubj)  | noun.act | (appearance, obj) | two days later , some 30 of them had struck at a convoy off bougie , sinking a troopship -- and it had been that very night that the me-210 had made its first appearance 
noun.food | (bomber, nsubj)  | noun.event | (hell, obj) | in that interval , the german bombers made a hell of bari harbor 
noun.act | (carrot, nsubj)  | noun.entity | (it, obj) | the carrots sometimes don't make it through the winter ; ;
noun.person | (you, nsubj)  | noun.person | (toast, obj) | `` you can't make french toast with whole-wheat bread '' , was an early complaint 
adj.all | (some, nsubj)  | noun.artifact | (chair, obj) | some make beautiful chairs , cabinets , chests , doll houses , etc 
noun.person | (you, nsubj)  | noun.cognition | (grade, obj) | just let the rejection slips fall where they may , and keep on plugging , and finally you will make the grade 
noun.person | (who, nsubj)  | noun.attribute | (use, obj) | so far in history man has been too greatly over-occupied with projecting things into his environment rather than first creating the sort of person who can make the highest use of the things he has created 
noun.person | (huxley, nsubj)  | noun.artifact | (point, obj) | sir julian huxley in his book uniqueness of man makes the novel point that just as man is unique in being the only animal which requires a long period of infancy and childhood under family protection , so is he the only animal who has a long period after the decline of his procreativity 
noun.event | (progress, nsubj)  | noun.person | (he, nsubj) | he can take security from the fact that the progress he has made by his gentle approach will not be lost 
noun.person | (wife, nsubj)  | noun.state | (demand, obj) | or a wife may make sudden demands that she be courted , flattered or coaxed , simply because she needs her ego lifted 
noun.animal | (sitter, nsubj)  | noun.communication | (comment, obj) | the mediums with whom the parapsychology foundation is working in this experiment are in a waking or only slightly dissociated state , so that the sitter can make comments , ask and answer questions , instead of talking with a `` control '' who speaks through an entranced sensitive 
noun.animal | (sitter, nsubj)  | noun.food | (date, obj) | here the absent sitter makes a `` date '' with a communicator ( someone close to him who is deceased ) , asking him to `` come in '' at a certain hour , when a channel will be open for him 
adj.all | (sensitive, nsubj)  | noun.act | (hit, obj) | an interested sitter may think the sensitive has made a `` hit '' , describing something accurately for him , but can he really be sure that another sitter , hearing the same statement , would not apply it subjectively to his own circumstances ? ?
noun.person | (she, nsubj)  | adj.all | (most, obj) | it is possible to find out in which categories most of her correct statements fall , and where she makes most of her `` hits '' 
noun.artifact | (type, nsubj)  | noun.communication | (difference, obj) | soil type , drainage , or degree of slope can make the difference between good crops and poor ones 
noun.entity | (it, nsubj)  | noun.act | (effort, obj) | interruptions came largely from the bench , which numerous times rebuked the attorney general for letting his witnesses run on , though it , too , made no serious effort to choke off the flow 
noun.person | (nazi, nsubj)  | noun.attribute | (use, obj) | but if the trial did not expose the special nazi mania so deadly to jews as well as to anyone upon whom it happened to light , neither did it warn very effectively against the ordinary anti-semitism of which the nazis made such effective use in germany and wherever else they could find it 
noun.event | (trial, nsubj)  | noun.act | (effort, obj) | ought not an edifying trial have made every effort to demonstrate this once and for all by showing how representative types of `` mere '' anti-semites were drawn step by step into the program of skull-bashings and gassings ? ?
noun.group | (denomination, nsubj)  | noun.communication | (pronouncement, obj) | since then , many protestant denominations have made separate pronouncements , in which they not only approved birth control , but declared it at times to be a religious duty 
noun.group | (settlement, nsubj)  | noun.act | (leap, obj) | thus at the same time that william henry harrison was preparing to pacify the aborigines of indiana territory and winning fame at the battle of tippecanoe , anglo-saxon settlement made a great leap into the center of the north american continent to the west of the american agricultural frontier 
noun.person | (he, nsubj)  | noun.group | (deal, obj) | he conducted it with less diplomacy and more spontaneous violence than the sicilians , but he had his huge north side portion to exploit and he made a great deal of money 
noun.communication | (staff, nsubj)  | noun.cognition | (determination, obj) | its staff makes a preliminary determination of the epicenter of the quake and alerts tide stations near the epicenter for a tsunami 
noun.attribute | (station, nsubj)  | noun.cognition | (calculation, obj) | while accounts of the progress of the tsunami came in from various points in the pacific ( midway reported it was covered with nine feet of water ) , the hawaiian station made its calculations and notified the military services and the police that the first big wave would arrive at honolulu at 23:30 greenwich time 
noun.person | (we, nsubj)  | noun.person | (wave, obj) | in the search for oil and gas , we make similar waves under controlled conditions with dynamite and learn from them where there are buried rock structures favorable to the accumulation of these resources 
noun.location | (co, nsubj)  | noun.person | (fool, obj) | in combat , helping your co make a fool of himself might mean getting yourself killed 
noun.group | (cavalry, nsubj)  | noun.communication | (mark, obj) | although it was at the battle of the little horn , about which more words have been written than any other battle in american history , that the 7th cavalry first made its mark in history , the regiment was ten years old by then 
noun.artifact | (remedy, nsubj)  | noun.communication | (noise, obj) | a traditional lao explanation is that the moon was being swallowed by a toad , and the remedy was to make all possible noise , ideally with firearms 
noun.person | (we, nsubj)  | noun.communication | (column, obj) | with our company of soldiers , we made one long column of reddish dust 
noun.person | (boy, nsubj)  | noun.act | (exertion, obj) | in their first two years in high school , jewish boys in this town make strenuous exertions to win positions on the school teams 
noun.artifact | (chalk, nsubj)  | noun.food | (paste, obj) | for galled breasts , the mother should shave into half a cup of fresh unsalted lard enough white chalk to make a paste 
noun.person | (friend, nsubj)  | noun.artifact | (poultice, obj) | a sympathetic friend made poultices of raw potato parings , which she said was the best and quickest way to draw out the `` heat '' 
noun.group | (people, nsubj)  | noun.group | (tea, obj) | to cure fungus growths on mouth or hands people made a strong tea by using a handful of sassafras bark in a quart of water 
noun.person | (who, nsubj)  | noun.communication | (blend, obj) | he may also be the one who makes and bottles the best blends -- sound wines from vineyards generally in his own district 
noun.animal | (palfrey, nsubj)  | noun.person | (mind, obj) | palfrey had already made up his mind that he would allow the men , but not the women , to choose freely whether or not to go north for freedom 
noun.person | (who, nsubj)  | noun.event | (break, obj) | walton , who soon made a break from journalism to become one of the capital's leading semi-abstract painters , vows that he and kennedy never once discussed art in those days 
noun.location | (kennedy, nsubj)  | noun.act | (inspection, obj) | kennedy made a midnight inspection of the square 
noun.person | (who, nsubj)  | noun.group | (headquarters, obj) | it is known that morse did associate with a group of itinerant horse traders who made their headquarters at westport , a town not far from fall river 
noun.group | (police, nsubj)  | noun.act | (attempt, obj) | police did make an attempt to check on morse's alibi 
noun.person | (one, nsubj)  | noun.quantity | (word, obj) | also lucy and winslow had a private contest to see which one could make the most words from the letters in `` importunately '' 
noun.animal | (lucy, nsubj)  | noun.possession | (record, obj) | there is reason to suppose that lucy would have made a record as publicly distinguished as her brother had it not been that her mother's death occurred just as she was about to enter college 
noun.attribute | (interest, nsubj)  | noun.artifact | (work, obj) | she spoke also with deep thankfulness of the many individuals and agencies whose interest and efforts through the years had made the work so fruitful in results 
noun.person | (i, nsubj)  | noun.act | (attempt, obj) | i make no attempt to measure the enduring satisfaction and material well-being of a man who went to work on graduation from high school and was highly successful in the business which he entered 
noun.food | (spice, nsubj)  | noun.cognition | (group, obj) | the common spices , flavorings , and condiments make up this group 
noun.artifact | (pack, nsubj)  | noun.event | (bend, obj) | the pack had made a bend to the north , swinging back toward the reef , and kearton and ulyate could hear them faintly 
noun.person | (he, nsubj)  | noun.possession | (way, obj) | with great difficulty he made his way from his native hungary to geneva to renew his contacts as a member of the provisional committee for the world council of churches 
noun.person | (we, nsubj)  | noun.event | (advance, obj) | we shall not make a decisive advance in the ecumenical movement until such a church begins to see itself not merely as a haven of comfort and peace but as a base of christian witness and mission to the world 
noun.artifact | (movement, nsubj)  | noun.event | (advance, obj) | as long as the congregation regards the church as `` our '' church , or the minister thinks of it as `` my '' church , just so long the ecumenical movement will make no significant advance 
noun.person | (attorney, nsubj)  | noun.state | (demand, obj) | the suit , as we have seen , came before the courts when patent attorneys , inventors , and laymen were making mounting demands for reforms in the american patent system 
noun.person | (landlord, nsubj)  | noun.possession | (profit, obj) | the landlords make a tidy profit by raising the rent , chopping up the rooms , and all but dispensing with the upkeep ; ;
noun.person | (negro, nsubj)  | noun.act | (move, obj) | it is a notion which contains a gratuitous insult , implying , as it does , that negroes can make no move unless they are manipulated 
noun.person | (who, obj)  | noun.artifact | (escape, obj) | a posse is formed and pursues the robbers , who , having made their escape , are whooping it up with some wild , wild women in a honky-tonk hide-out 
